Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_breve.Fm
  5.162907268170426e+00,  7.979538562682001e-15
  5.187969924812030e+00,  3.824643173710706e-14
  5.213032581453634e+00,  4.918376746980851e-14
  5.238095238095238e+00,  2.896616269167120e-14
  5.263157894736842e+00,  1.273394647997930e-14
  5.288220551378446e+00,  4.328347555140951e-14
  5.313283208020049e+00,  1.277158432660070e-14
  5.338345864661655e+00,  2.422593846363560e-14
  5.363408521303258e+00,  1.954787372634157e-14
  5.388471177944862e+00,  4.579089581540273e-14
  5.413533834586466e+00,  2.438594747851306e-14
  5.438596491228070e+00,  2.153753733456895e-14
  5.463659147869674e+00,  1.773629841409087e-14
  5.488721804511279e+00,  1.455775148124315e-14
  5.513784461152882e+00,  8.901626093425581e-15
  5.538847117794487e+00,  9.014090914803366e-15
  5.563909774436090e+00,  6.954269204276926e-15
  5.588972431077694e+00,  5.091811811398345e-15
  5.614035087719298e+00,  3.947170430312217e-15
  5.639097744360902e+00,  3.665251694005755e-15
  5.664160401002506e+00,  3.049516291549695e-15
  5.689223057644110e+00,  3.155664602773943e-15
  5.714285714285714e+00,  2.893183485320960e-14
  5.739348370927319e+00,  2.659830440736142e-14
  5.764411027568922e+00,  5.123789123223177e-15
  5.789473684210527e+00,  5.119806172549986e-15
  5.814536340852130e+00,  4.941309096067349e-15
  5.839598997493734e+00,  3.011940117594232e-14
  5.864661654135338e+00,  5.208392554136575e-15
  5.889724310776943e+00,  2.631178939851922e-14
  5.914786967418546e+00,  1.387929782539882e-14
  5.939849624060151e+00,  1.145122024511917e-14
  5.964912280701754e+00,  1.852512260316649e-14
  5.989974937343359e+00,  1.760720587641994e-14
  6.015037593984962e+00,  1.856008335558091e-14
  6.040100250626566e+00,  1.969933163909644e-14
  6.065162907268170e+00,  1.907267465057394e-14
  6.090225563909774e+00,  1.803398683910813e-14
  6.115288220551378e+00,  1.562191109122472e-14
  6.140350877192983e+00,  1.192857091212546e-14
  6.165413533834586e+00,  7.783782839325972e-15
  6.190476190476191e+00,  5.981724749665430e-15
  6.215538847117794e+00,  4.751606139781232e-15
  6.240601503759398e+00,  1.162245995235605e-14
  6.265664160401002e+00,  1.445444560203892e-14
  6.290726817042607e+00,  1.356407299830409e-14
  6.315789473684211e+00,  1.269955411477164e-14
  6.340852130325815e+00,  1.571422502026775e-14
  6.365914786967418e+00,  1.710167570734508e-14
  6.390977443609023e+00,  1.623743652472984e-14
  6.416040100250626e+00,  1.565225460262709e-14
  6.441102756892231e+00,  1.528010426856191e-14
  6.466165413533834e+00,  1.465952189663660e-14
  6.491228070175438e+00,  1.239913994984182e-14
  6.516290726817042e+00,  1.140699395830694e-14
  6.541353383458647e+00,  1.643218473619690e-14
  6.566416040100250e+00,  1.592368023773848e-14
  6.591478696741855e+00,  1.548698978962429e-14
  6.616541353383458e+00,  4.666754906158444e-14
  6.641604010025063e+00,  1.460033174545716e-14
  6.666666666666666e+00,  1.035371931027026e-14
  6.691729323308271e+00,  3.203189132940384e-14
  6.716791979949875e+00,  2.661222481785072e-14
  6.741854636591479e+00,  1.626113521975261e-14
  6.766917293233083e+00,  1.630917886586353e-14
  6.791979949874687e+00,  1.360986246882781e-14
  6.817042606516290e+00,  1.274262440782817e-14
  6.842105263157895e+00,  4.929406174651256e-14
  6.867167919799498e+00,  1.270737880440946e-14
  6.892230576441102e+00,  1.444572546975191e-14
  6.917293233082706e+00,  3.381628025454481e-14
  6.942355889724311e+00,  1.428724039396769e-14
  6.967418546365915e+00,  1.662807180020315e-14
  6.992481203007519e+00,  1.344498409267843e-14
  7.017543859649122e+00,  6.785779609301909e-14
  7.042606516290727e+00,  1.313455243427812e-14
  7.067669172932330e+00,  3.869853895379900e-14
  7.092731829573935e+00,  4.199610720169287e-14
  7.117794486215539e+00,  1.510981740697497e-14
  7.142857142857143e+00,  1.077603436854479e-14
  7.167919799498747e+00,  1.355819347936189e-14
  7.192982456140351e+00,  2.575239341801218e-14
  7.218045112781954e+00,  1.517409408608521e-14
  7.243107769423559e+00,  1.656922823014232e-14
  7.268170426065162e+00,  4.556686157280996e-14
  7.293233082706767e+00,  2.065196254371154e-14
  7.318295739348370e+00,  2.582627599987307e-14
  7.343358395989975e+00,  5.553332803208401e-14
  7.368421052631579e+00,  1.200417788966802e-14
  7.393483709273183e+00,  2.655004376028309e-14
  7.418546365914787e+00,  1.205180815987572e-13
  7.443609022556391e+00,  3.843232119388168e-14
  7.468671679197994e+00,  3.137361419657238e-14
  7.493734335839600e+00,  8.973247448659823e-14
  7.518796992481203e+00,  2.226553743658770e-14
  7.543859649122807e+00,  1.785721785756640e-13
  7.568922305764411e+00,  2.145372392556697e-13
  7.593984962406015e+00,  1.972720326640149e-14
  7.619047619047619e+00,  7.426281713104978e-14
  7.644110275689223e+00,  5.467477069551412e-13
  7.669172932330826e+00,  1.813081082455489e-13
  7.694235588972431e+00,  2.473459126377083e-12
  7.719298245614034e+00,  3.254083709911761e+00
  7.744360902255639e+00,  4.982418551678221e+00
  7.769423558897243e+00,  6.032144839512562e+00
  7.794486215538847e+00,  6.796989120015471e+00
  7.819548872180451e+00,  7.390299718522813e+00
  7.844611528822055e+00,  7.827965359063848e+00
  7.869674185463658e+00,  8.227507942679225e+00
  7.894736842105264e+00,  8.388421269517949e+00
  7.919799498746867e+00,  8.488346092048346e+00
  7.944862155388472e+00,  8.546740133316895e+00
