Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.biceps_brachii_caput_longum.Fm
  6.491228070175438e+00,  8.224063407981500e+00
  6.516290726817042e+00,  8.318936498296353e+00
  6.541353383458647e+00,  8.420475686521398e+00
  6.566416040100250e+00,  8.523860270787280e+00
  6.591478696741855e+00,  8.628684171866652e+00
  6.616541353383458e+00,  8.734656133324481e+00
  6.641604010025063e+00,  8.845323375310793e+00
  6.666666666666666e+00,  8.961126673812805e+00
  6.691729323308271e+00,  9.079265189946721e+00
  6.716791979949875e+00,  9.199472366368704e+00
  6.741854636591479e+00,  9.320947395961078e+00
  6.766917293233083e+00,  9.443029321103802e+00
  6.791979949874687e+00,  9.573802766282597e+00
  6.817042606516290e+00,  9.709324098476024e+00
  6.842105263157895e+00,  9.849540751321220e+00
  6.867167919799498e+00,  9.994210305658958e+00
  6.892230576441102e+00,  1.014198103994782e+01
  6.917293233082706e+00,  1.026109016780340e+01
  6.942355889724311e+00,  1.037030948003317e+01
  6.967418546365915e+00,  1.047233658675208e+01
  6.992481203007519e+00,  1.058067512547901e+01
  7.017543859649122e+00,  1.068087387292222e+01
  7.042606516290727e+00,  1.078241656555526e+01
  7.067669172932330e+00,  1.088564028470797e+01
  7.092731829573935e+00,  1.099271587441341e+01
  7.117794486215539e+00,  1.110243380794633e+01
  7.142857142857143e+00,  1.121207138613300e+01
  7.167919799498747e+00,  1.129704097877246e+01
  7.192982456140351e+00,  1.138785501975767e+01
  7.218045112781954e+00,  1.147658002504619e+01
  7.243107769423559e+00,  1.155258119820764e+01
  7.268170426065162e+00,  1.162589296616093e+01
  7.293233082706767e+00,  1.168972443782060e+01
  7.318295739348370e+00,  1.175160735009290e+01
  7.343358395989975e+00,  1.181056962033644e+01
  7.368421052631579e+00,  1.185731250535823e+01
  7.393483709273183e+00,  1.189447190730296e+01
  7.418546365914787e+00,  1.187440411932423e+01
  7.443609022556391e+00,  1.183902555204476e+01
  7.468671679197994e+00,  1.181321623325719e+01
  7.493734335839600e+00,  1.178449687528478e+01
  7.518796992481203e+00,  1.214902672373513e+01
  7.543859649122807e+00,  1.253284680841366e+01
  7.568922305764411e+00,  1.321729490679592e+01
  7.593984962406015e+00,  1.385366354808317e+01
  7.619047619047619e+00,  1.460264910652285e+01
  7.644110275689223e+00,  1.544472738046476e+01
  7.669172932330826e+00,  1.650400235159119e+01
  7.694235588972431e+00,  1.746966731479027e+01
  7.719298245614034e+00,  1.807483750921518e+01
  7.744360902255639e+00,  1.864672363083041e+01
  7.769423558897243e+00,  1.907508716259970e+01
  7.794486215538847e+00,  1.942247507579122e+01
  7.819548872180451e+00,  1.970852125756393e+01
  7.844611528822055e+00,  1.993688331376422e+01
  7.869674185463658e+00,  2.012234758946406e+01
  7.894736842105264e+00,  2.018145561452332e+01
  7.919799498746867e+00,  2.022274655032505e+01
  7.944862155388472e+00,  2.024410737615871e+01
  7.969924812030075e+00,  2.024686625378164e+01
  7.994987468671679e+00,  2.025903940949152e+01
  8.020050125313283e+00,  2.001617382639860e+01
  8.045112781954888e+00,  1.969649555775773e+01
  8.070175438596491e+00,  1.941969358447925e+01
  8.095238095238095e+00,  1.916613342114586e+01
  8.120300751879698e+00,  1.891673439065496e+01
  8.145363408521304e+00,  1.869508227530428e+01
  8.170426065162907e+00,  1.848124314722819e+01
  8.195488721804512e+00,  1.826939689860167e+01
  8.220551378446114e+00,  1.807027976570422e+01
  8.245614035087719e+00,  1.787884307161698e+01
  8.270676691729323e+00,  1.771761753740643e+01
  8.295739348370928e+00,  1.765345066290464e+01
  8.320802005012531e+00,  1.758181443102117e+01
  8.345864661654135e+00,  1.751389570957424e+01
  8.370927318295738e+00,  1.746982808438948e+01
  8.395989974937343e+00,  1.736697788883086e+01
  8.421052631578947e+00,  1.719949541254448e+01
  8.446115288220552e+00,  1.703577233169258e+01
  8.471177944862156e+00,  1.687909262329350e+01
  8.496240601503759e+00,  1.672582375830149e+01
  8.521303258145362e+00,  1.658007568935972e+01
  8.546365914786968e+00,  1.644055619299621e+01
  8.571428571428571e+00,  1.630657386453852e+01
  8.596491228070175e+00,  1.617782541430819e+01
  8.621553884711780e+00,  1.605409164366579e+01
  8.646616541353383e+00,  1.593510684633407e+01
  8.671679197994987e+00,  1.582062552229399e+01
  8.696741854636592e+00,  1.571392966427357e+01
  8.721804511278195e+00,  1.560917272387860e+01
  8.746867167919799e+00,  1.550600100402679e+01
  8.771929824561402e+00,  1.540953739516988e+01
  8.796992481203008e+00,  1.531184658573780e+01
  8.822055137844611e+00,  1.521727504801643e+01
  8.847117794486216e+00,  1.512516024411808e+01
  8.872180451127820e+00,  1.503502738483033e+01
  8.897243107769423e+00,  1.494658598607164e+01
  8.922305764411027e+00,  1.485957337525763e+01
  8.947368421052632e+00,  1.477386386245730e+01
  8.972431077694235e+00,  1.468929328230370e+01
  8.997493734335841e+00,  1.460562781598563e+01
  9.022556390977442e+00,  1.452270717376344e+01
  9.047619047619047e+00,  1.444034646863452e+01
  9.072681704260651e+00,  1.435836727642646e+01
  9.097744360902256e+00,  1.427657674470033e+01
  9.122807017543860e+00,  1.419478656390224e+01
  9.147869674185463e+00,  1.411286159885182e+01
  9.172932330827066e+00,  1.403069181962058e+01
  9.197994987468672e+00,  1.394745830227255e+01
  9.223057644110275e+00,  1.386318347558789e+01
  9.248120300751880e+00,  1.377785459925320e+01
