---- AnyBody Output File ---------------------------------
Study: Main.Study
Operation: Main.Study.InverseDynamics
----------------------------------------------------------
Constants (Name = Value): 
Main.Study.Output_tricps_LH_2.UpdData = 2
Main.Study.Output_tricps_LH_2.FileName = "triceps_LH_2_data.txt"
Main.Study.Output_tricps_LH_2.NumberFormat.Digits = 15
Main.Study.Output_tricps_LH_2.NumberFormat.Width = 23
Main.Study.Output_tricps_LH_2.NumberFormat.Style = ScientificNumber
Main.Study.Output_tricps_LH_2.NumberFormat.FormatStr = "%23.15e"
Main.Study.Output_tricps_LH_2.Values = 
Main.Study.Output_tricps_LH_2.Search = {"Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm"}
Main.Study.Output_tricps_LH_2.Format = 0
Main.Study.Output_tricps_LH_2.SepSign = ","
Main.Study.Output_tricps_LH_2.SepSpaceAutoOnOff = On
Main.Study.Output_tricps_LH_2.LineSepSign = ""
Main.Study.Output_tricps_LH_2.Header.TitleSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.Header.VarSectionOnOff = On
Main.Study.Output_tricps_LH_2.Header.ColumnNamesOnOff = On
Main.Study.Output_tricps_LH_2.Header.LinePrefix = ""
Main.Study.Output_tricps_LH_2.Header.ShortenNamesOnOff = Off
Main.Study.Output_tricps_LH_2.Header.ColumnIDString = "col"
Main.Study.Output_tricps_LH_2.ConstSectionSaveOptionsOnOff = On
Main.Study.Output_tricps_LH_2.SuppressTimeColumnOnOff = Off
----------------------------------------------------------
Variables (Column# Name): 
col0  Main.Study.t
col1  Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
----------------------------------------------------------
Main.Study.t,Main.HumanModel.BodyModel.Right.ShoulderArm.Mus.Triceps_LH_2.Fm
  5.739348370927319e+00,  5.999802751199858e+00
  5.764411027568922e+00,  6.582971486494273e+00
  5.789473684210527e+00,  7.169209365478568e+00
  5.814536340852130e+00,  7.708823712054188e+00
  5.839598997493734e+00,  8.216319259417151e+00
  5.864661654135338e+00,  8.693223195796506e+00
  5.889724310776943e+00,  9.143509339406794e+00
  5.914786967418546e+00,  9.568985195244959e+00
  5.939849624060151e+00,  9.970912944005367e+00
  5.964912280701754e+00,  1.035085742401035e+01
  5.989974937343359e+00,  1.071025484225265e+01
  6.015037593984962e+00,  1.104998555878231e+01
  6.040100250626566e+00,  1.137111403026827e+01
  6.065162907268170e+00,  1.167480887246363e+01
  6.090225563909774e+00,  1.196197788951827e+01
  6.115288220551378e+00,  1.223349121696217e+01
  6.140350877192983e+00,  1.248929391237987e+01
  6.165413533834586e+00,  1.273559279063846e+01
  6.190476190476191e+00,  1.297276913198341e+01
  6.215538847117794e+00,  1.319308639735746e+01
  6.240601503759398e+00,  1.340060915268798e+01
  6.265664160401002e+00,  1.359351818354256e+01
  6.290726817042607e+00,  1.377311143173758e+01
  6.315789473684211e+00,  1.393960289605878e+01
  6.340852130325815e+00,  1.409025111626974e+01
  6.365914786967418e+00,  1.422636063451514e+01
  6.390977443609023e+00,  1.436935083717558e+01
  6.416040100250626e+00,  1.449157216990749e+01
  6.441102756892231e+00,  1.462805303543952e+01
  6.466165413533834e+00,  1.475695843447781e+01
  6.491228070175438e+00,  1.487805354719155e+01
  6.516290726817042e+00,  1.499049106207269e+01
  6.541353383458647e+00,  1.508410754325642e+01
  6.566416040100250e+00,  1.516082009657794e+01
  6.591478696741855e+00,  1.522559796469337e+01
  6.616541353383458e+00,  1.527753688915876e+01
  6.641604010025063e+00,  1.534444943290685e+01
  6.666666666666666e+00,  1.544795075231238e+01
  6.691729323308271e+00,  1.554380537197888e+01
  6.716791979949875e+00,  1.563004905798816e+01
